,chart_week,list_position,track_id,name_x,duration_ms,release_date,album_type,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,artist_id,name_y,popularity,followers
20,2021-03-13,3,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
21,2020-03-21,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
22,2020-05-23,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
23,2020-06-06,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
24,2020-07-25,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
25,2020-08-01,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
26,2020-08-15,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
27,2020-08-29,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
28,2020-10-24,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
29,2020-10-31,4,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,200040,2020-03-20,album,False,0.513,0.73,1.0,-5.94,1.0,0.0598,0.00143,9.54e-05,0.0897,0.334,171.001,4.0,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,96,92598894
