,artist_id,track_id
72,02rd0anEWfMtF7iMku9uor,4m3VFxVwSPk8VGoA9qcLRC
73,02rd0anEWfMtF7iMku9uor,46a3BjDPBdi6OngVhTkuM6
74,02rd0anEWfMtF7iMku9uor,21gIIm2pGR0VK36gLVvY26
75,02rd0anEWfMtF7iMku9uor,5LGEfWqwgYL16tyXkrRC8J
76,02rd0anEWfMtF7iMku9uor,6DuRbVj7iCZeMuMYldivIQ
77,02rd0anEWfMtF7iMku9uor,3aPu8Pt9F18y7O7AbzsC02
78,02rd0anEWfMtF7iMku9uor,50Wf9mPOJW1zIfHNtKm7Z8
79,02rd0anEWfMtF7iMku9uor,6A2hvKTF2FShj0Yma7CP8N
80,02rd0anEWfMtF7iMku9uor,5o6dFqafETxZNqUFt9ZqAC
81,030sRm1rnXI9MeQ23pdax8,59xyRqG06dGbTmmJFVFbyQ
82,03a5eVjzFyQlR4XyVSwt4t,3x5VSzCT9x9LB6uPomLZXs
83,03a5eVjzFyQlR4XyVSwt4t,63w0QA1wiV7QhF9jeiHETF
84,03ilIKH0i08IxmjKcn63ne,7CMIy0uwXyeBv2MvaEUJM1
85,03qM4LmPCrR7CuHTE0WAIW,1DH1DGQzth0K6YouejlNLY
86,03r4iKL2g2442PT9n2UKsx,56H98l4uinRifnTH8e308N
87,03r4iKL2g2442PT9n2UKsx,0Puj4YlTm6xNzDDADXHMI9
88,03tfKFHhDoDqF73vCI3cxn,4WtkYdCG4n80h08Ep5SmDI
89,048LktY5zMnakWq7PTtFrz,2Xr1dTzJee307rmrkt8c0g
90,04T7QEqAiQBW12loi1g2CO,6clrpCeCKy6A0Tda4Tq3Ha
91,04V6nCBJq5l3f5Ucdptw5R,0MwkywJbKkouaclKZ0WjPA
92,04abdnqPQe2N4fjztDea6z,52vS7mJ0a70Z4uRCfl8SjH
93,04abdnqPQe2N4fjztDea6z,2n3CaPGPLYnYAvTEwKCX8t
94,04ei5kNgmDuNAydFhhIHnD,2u7mxWSeoqTXndK5e08jMp
95,04ei5kNgmDuNAydFhhIHnD,3ZhTT6yjZwpPph5MIJ53XY
96,04gDigrS5kc9YWfZHwBETP,4V9JDRqKjN8F2HWdlEDxvI
97,04gDigrS5kc9YWfZHwBETP,6ECp64rv50XVz93WvxXMGF
98,04gDigrS5kc9YWfZHwBETP,7sapKrjDij2fpDVj0GxP66
99,04gDigrS5kc9YWfZHwBETP,5qII2n90lVdPDcgXEEVHNy
100,04gDigrS5kc9YWfZHwBETP,1lHXlGlve5Zx8tXLhyjDwM
101,04gDigrS5kc9YWfZHwBETP,1zqllQUMCgMaInr0CzFVll
102,04gDigrS5kc9YWfZHwBETP,0tuyEYTaqLxE41yGHSsXjy
103,04gDigrS5kc9YWfZHwBETP,1rhHkjoNw3EPUG4qAuGZih
104,04gDigrS5kc9YWfZHwBETP,6KBYk8OFtod7brGuZ3Y67q
105,04gDigrS5kc9YWfZHwBETP,2TRuBFYZYw0Q7qIVBhqR1T
106,04gDigrS5kc9YWfZHwBETP,7zmJyZL3DfYBBYbY8Rve6W
107,04gDigrS5kc9YWfZHwBETP,4ucLHLiSjvkCz5Lr5dlVUj
108,04gDigrS5kc9YWfZHwBETP,7LcfRTgAVTs5pQGEQgUEzN
109,04gDigrS5kc9YWfZHwBETP,7A4KjSFDx0BL75up2eK0OF
